Week ending,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,Total Lower 48
17-Jul-15,627,636,167,337,1056,304,752,2823
24-Jul-15,643,659,171,340,1059,300,759,2872
31-Jul-15,658,683,174,341,1054,292,762,2910
07-Aug-15,681,713,176,344,1061,291,769,2975
14-Aug-15,704,740,179,345,1059,286,773,3027
21-Aug-15,725,770,183,345,1071,287,784,3094
28-Aug-15,751,815,188,345,1091,290,801,3190
04-Sep-15,769,848,191,349,1105,293,811,3262
11-Sep-15,787,883,194,347,1125,298,828,3336
18-Sep-15,812,918,197,352,1162,312,850,3441
25-Sep-15,837,952,201,355,1192,321,870,3537
02-Oct-15,863,984,206,359,1222,331,891,3634
09-Oct-15,880,1016,210,367,1258,346,912,3731
16-Oct-15,899,1046,213,367,1288,357,930,3813
23-Oct-15,905,1072,216,373,1309,366,944,3875
30-Oct-15,916,1097,216,377,1325,371,955,3931
06-Nov-15,929,1117,217,382,1340,373,967,3985
13-Nov-15,934,1124,214,381,1347,377,970,4000
20-Nov-15,935,1127,214,381,1352,382,970,4009
27-Nov-15,919,1109,211,375,1342,380,962,3956
04-Dec-15,910,1083,203,361,1323,379,943,3880
11-Dec-15,894,1066,203,361,1322,376,946,3846
18-Dec-15,894,1051,198,346,1325,378,947,3814
25-Dec-15,876,1025,195,338,1322,378,944,3756
01-Jan-16,857,983,185,313,1305,379,925,3643
08-Jan-16,802,942,177,295,1259,364,895,3475
15-Jan-16,758,879,170,281,1209,345,864,3297
22-Jan-16,695,811,164,273,1143,321,821,3086
29-Jan-16,641,767,159,271,1096,303,793,2934
05-Feb-16,620,739,151,258,1096,312,784,2864
12-Feb-16,568,689,147,255,1042,286,756,2701
19-Feb-16,512,645,147,256,1024,281,743,2584
26-Feb-16,495,621,145,255,1020,285,735,2536
04-Mar-16,464,587,146,258,1024,291,733,2479
11-Mar-16,452,577,147,259,1043,303,740,2478
18-Mar-16,453,571,148,260,1061,312,749,2493
25-Mar-16,439,555,147,262,1065,315,750,2468
01-Apr-16,434,548,149,265,1084,323,761,2480
08-Apr-16,419,538,150,269,1101,334,767,2477
15-Apr-16,408,538,152,271,1115,342,774,2484
22-Apr-16,431,554,155,277,1140,352,788,2557
29-Apr-16,454,566,157,284,1164,362,802,2625
06-May-16,468,582,161,288,1182,368,813,2681
13-May-16,490,606,166,293,1199,371,828,2754
20-May-16,511,629,171,298,1216,372,844,2825
27-May-16,537,655,178,304,1233,370,863,2907
03-Jun-16,559,679,183,307,1244,370,874,2972
10-Jun-16,585,703,188,312,1253,368,885,3041
17-Jun-16,612,724,194,318,1255,366,890,3103
24-Jun-16,632,742,198,315,1253,360,893,3140
01-Jul-16,654,764,202,313,1246,354,893,3179
08-Jul-16,678,785,208,319,1253,355,898,3243
15-Jul-16,697,801,210,318,1251,349,901,3277
22-Jul-16,715,815,213,318,1233,336,897,3294
29-Jul-16,729,825,213,314,1207,320,886,3288
05-Aug-16,746,845,215,314,1197,313,884,3317
12-Aug-16,763,861,217,313,1185,305,881,3339
19-Aug-16,775,875,219,310,1171,292,879,3350
26-Aug-16,796,904,222,310,1169,287,883,3401
02-Sep-16,812,928,224,313,1160,280,880,3437
09-Sep-16,832,954,227,317,1169,285,884,3499
16-Sep-16,851,985,230,318,1167,278,889,3551
23-Sep-16,874,1014,233,318,1161,275,885,3600
30-Sep-16,899,1045,237,318,1181,289,893,3680
07-Oct-16,913,1071,240,323,1212,305,907,3759
14-Oct-16,925,1093,243,325,1250,330,920,3836
21-Oct-16,939,1115,245,326,1284,352,931,3909
28-Oct-16,940,1130,249,326,1318,374,944,3963
04-Nov-16,946,1148,253,327,1343,385,958,4017
11-Nov-16,944,1155,257,328,1363,394,969,4047
18-Nov-16,935,1153,259,328,1370,396,974,4045
25-Nov-16,912,1130,258,328,1367,400,967,3995
02-Dec-16,899,1112,256,323,1363,403,960,3953
09-Dec-16,865,1071,244,312,1314,388,927,3806
16-Dec-16,810,1007,230,302,1248,363,884,3597
23-Dec-16,757,946,217,283,1157,324,833,3360
30-Dec-16,737,921,207,275,1171,343,828,3311
06-Jan-17,698,865,197,263,1137,343,794,3160
13-Jan-17,639,795,183,248,1052,312,740,2917
20-Jan-17,596,757,173,235,1037,325,712,2798
27-Jan-17,569,730,164,221,1027,340,687,2711
03-Feb-17,520,685,155,208,991,338,654,2559
10-Feb-17,479,642,150,205,969,332,636,2445
17-Feb-17,431,612,146,206,961,328,633,2356
24-Feb-17,422,608,146,205,982,333,649,2363
03-Mar-17,404,579,139,201,972,326,646,2295
10-Mar-17,368,557,137,203,977,325,653,2242
17-Mar-17,309,506,137,208,932,295,637,2092
24-Mar-17,278,486,141,212,932,289,644,2049
31-Mar-17,268,479,142,216,946,295,651,2051
07-Apr-17,266,476,141,221,957,301,656,2061
14-Apr-17,278,487,144,223,983,314,670,2115
21-Apr-17,303,504,149,228,1005,321,684,2189
28-Apr-17,325,519,153,233,1026,329,697,2256
05-May-17,350,524,155,238,1034,331,702,2301
12-May-17,367,540,161,244,1057,337,720,2369
19-May-17,390,562,166,250,1076,338,738,2444
26-May-17,419,585,166,258,1097,342,755,2525
02-Jun-17,457,614,172,269,1119,345,774,2631
09-Jun-17,491,634,177,274,1133,348,784,2709
16-Jun-17,513,656,182,281,1138,343,794,2770
23-Jun-17,536,676,184,280,1140,341,799,2816
30-Jun-17,564,699,187,287,1141,332,810,2878
07-Jul-17,588,719,193,292,1144,327,817,2936
14-Jul-17,609,733,194,292,1135,319,816,2963
21-Jul-17,626,743,197,294,1120,308,812,2980
28-Jul-17,651,754,200,293,1101,296,805,2999
04-Aug-17,673,771,202,289,1094,290,804,3029
11-Aug-17,701,798,204,292,1087,283,804,3082
18-Aug-17,728,821,206,296,1074,274,800,3125
25-Aug-17,749,840,205,301,1060,262,797,3155
01-Sep-17,781,872,205,296,1066,266,800,3220
08-Sep-17,809,906,208,296,1092,285,807,3311
15-Sep-17,833,938,212,300,1125,304,821,3408
22-Sep-17,848,964,217,307,1130,305,825,3466
29-Sep-17,861,989,220,311,1127,300,827,3508
06-Oct-17,884,1024,223,315,1149,310,838,3595
13-Oct-17,901,1054,224,316,1150,302,848,3645
20-Oct-17,915,1082,224,315,1174,313,861,3710
27-Oct-17,926,1107,226,317,1199,324,874,3775
03-Nov-17,925,1112,224,317,1212,336,876,3790
10-Nov-17,915,1108,220,315,1214,341,873,3772
17-Nov-17,891,1090,220,314,1211,340,871,3726
24-Nov-17,876,1068,221,314,1214,348,866,3693
01-Dec-17,868,1058,221,313,1235,360,875,3695
08-Dec-17,855,1033,213,305,1220,360,860,3626
15-Dec-17,811,980,204,294,1155,330,825,3444
22-Dec-17,782,941,195,281,1133,324,809,3332
29-Dec-17,740,875,183,268,1060,302,759,3126
05-Jan-18,664,778,167,251,907,224,683,2767
12-Jan-18,614,717,158,244,851,206,646,2584
19-Jan-18,555,634,145,233,729,151,578,2296
26-Jan-18,525,596,137,220,719,169,550,2197
02-Feb-18,488,543,131,213,703,184,518,2078
09-Feb-18,432,468,122,213,649,178,472,1884
16-Feb-18,403,428,111,204,614,175,440,1760
23-Feb-18,382,398,102,189,611,183,429,1682
02-Mar-18,359,380,97,177,612,189,423,1625
09-Mar-18,314,350,93,169,606,186,420,1532
16-Mar-18,270,315,90,169,602,182,419,1446
23-Mar-18,242,284,88,166,603,181,422,1383
30-Mar-18,229,266,87,166,606,188,419,1354
06-Apr-18,217,246,83,171,618,196,422,1335
13-Apr-18,207,228,83,175,606,185,421,1299
20-Apr-18,205,211,84,177,604,182,421,1281
27-Apr-18,223,221,86,187,626,190,436,1343
04-May-18,243,240,92,195,662,204,458,1432
11-May-18,275,267,98,204,694,216,477,1538
18-May-18,299,288,107,213,722,226,496,1629
25-May-18,328,315,113,221,748,235,514,1725
01-Jun-18,351,341,121,231,773,245,528,1817
08-Jun-18,377,372,125,239,800,252,547,1913
15-Jun-18,406,401,127,246,828,258,570,2008
22-Jun-18,430,425,133,251,835,252,583,2074
29-Jun-18,460,455,139,257,841,245,596,2152
06-Jul-18,480,477,143,260,843,238,605,2203
13-Jul-18,507,501,144,259,838,231,607,2248
20-Jul-18,527,525,145,256,820,215,605,2272
27-Jul-18,552,552,146,249,807,206,601,2305
03-Aug-18,574,580,148,244,808,204,604,2353
10-Aug-18,590,604,151,239,802,195,606,2386
17-Aug-18,611,633,153,238,799,190,609,2435
24-Aug-18,637,669,157,240,801,188,613,2504
31-Aug-18,659,702,162,246,799,183,615,2567
07-Sep-18,679,734,166,250,806,182,624,2636
14-Sep-18,709,770,170,255,818,184,635,2722
21-Sep-18,729,800,173,259,807,173,634,2768
28-Sep-18,763,836,177,262,829,181,648,2866
05-Oct-18,790,871,180,262,854,191,663,2956
12-Oct-18,812,908,177,264,877,203,673,3037
19-Oct-18,825,934,177,262,896,218,678,3095
26-Oct-18,826,956,180,262,919,234,686,3143
02-Nov-18,831,980,182,265,949,253,696,3208
09-Nov-18,835,991,181,266,974,272,702,3247
16-Nov-18,803,959,174,258,919,251,668,3113
23-Nov-18,778,938,171,254,914,259,654,3054
30-Nov-18,752,914,168,253,905,263,642,2991
07-Dec-18,732,885,160,238,898,271,627,2914
14-Dec-18,692,841,153,227,860,262,598,2773
21-Dec-18,676,818,150,223,858,274,584,2725
28-Dec-18,661,798,147,220,878,296,582,2705
04-Jan-19,651,763,132,204,865,302,563,2614
11-Jan-19,620,729,127,196,861,303,557,2533
18-Jan-19,566,673,121,185,823,295,528,2370
25-Jan-19,527,606,114,178,771,278,493,2197
01-Feb-19,468,522,105,172,692,241,451,1960
08-Feb-19,444,492,95,155,696,248,447,1882
15-Feb-19,395,436,87,138,649,224,425,1705
22-Feb-19,354,385,79,122,598,199,399,1539
01-Mar-19,311,338,73,112,557,180,377,1390
08-Mar-19,262,287,66,102,473,129,344,1190
15-Mar-19,245,268,62,96,471,135,336,1143
22-Mar-19,225,248,62,104,467,137,329,1107
29-Mar-19,210,241,64,113,502,156,347,1130
05-Apr-19,209,240,64,119,523,166,357,1155
12-Apr-19,228,254,66,128,571,187,384,1247
19-Apr-19,251,264,70,138,616,204,413,1339
26-Apr-19,279,290,75,152,666,224,442,1462
03-May-19,299,309,78,162,699,234,466,1547
10-May-19,330,336,82,174,731,240,491,1653
17-May-19,353,364,89,186,762,249,513,1753
24-May-19,383,399,93,198,793,253,540,1867
31-May-19,414,436,101,213,821,256,565,1986
07-Jun-19,440,469,111,227,842,256,586,2088
14-Jun-19,472,503,118,234,875,264,612,2203
21-Jun-19,499,538,127,245,893,263,630,2301
28-Jun-19,526,568,134,255,907,259,648,2390
05-Jul-19,544,597,140,263,927,257,669,2471
12-Jul-19,561,627,147,268,929,246,683,2533
19-Jul-19,575,650,151,271,921,229,692,2569
26-Jul-19,597,677,156,270,934,226,708,2634
02-Aug-19,613,701,161,272,941,221,719,2689
09-Aug-19,634,729,164,272,939,214,725,2738
16-Aug-19,660,760,168,274,935,205,730,2797
23-Aug-19,682,790,173,278,934,199,736,2857
30-Aug-19,714,827,177,276,947,197,749,2941
06-Sep-19,739,864,183,275,958,199,759,3019
13-Sep-19,763,898,188,279,974,200,774,3103
20-Sep-19,794,934,194,286,998,207,790,3205
27-Sep-19,826,973,199,291,1029,220,809,3317
04-Oct-19,854,1009,203,296,1054,229,825,3415
11-Oct-19,880,1044,205,296,1093,246,847,3519
18-Oct-19,898,1069,208,297,1134,268,866,3606
25-Oct-19,913,1095,211,298,1178,293,885,3695
01-Nov-19,932,1109,207,292,1189,303,886,3729
08-Nov-19,932,1106,207,290,1197,313,884,3732
15-Nov-19,909,1069,205,292,1164,299,864,3638
22-Nov-19,894,1052,204,293,1166,303,863,3610
29-Nov-19,891,1040,200,286,1174,316,858,3591
06-Dec-19,867,1013,193,276,1168,321,847,3518
13-Dec-19,838,973,186,273,1142,319,823,3411
20-Dec-19,796,923,177,260,1094,309,786,3250
27-Dec-19,771,905,173,251,1093,313,780,3192
03-Jan-20,756,885,166,244,1097,323,774,3148
10-Jan-20,716,851,161,235,1076,320,756,3039
17-Jan-20,696,815,151,220,1065,328,737,2947
24-Jan-20,638,761,143,210,995,297,698,2746
31-Jan-20,598,725,136,210,941,281,660,2609
07-Feb-20,569,694,126,202,903,269,634,2494
14-Feb-20,527,639,117,198,861,257,605,2343
21-Feb-20,484,591,108,196,821,244,578,2200
28-Feb-20,451,558,101,197,784,229,555,2091
06-Mar-20,426,529,97,200,791,235,556,2043
13-Mar-20,412,512,96,199,814,247,568,2034
20-Mar-20,398,492,92,194,829,258,571,2005
27-Mar-20,382,476,92,197,840,256,585,1986
03-Apr-20,382,475,92,203,872,265,607,2024
10-Apr-20,400,487,95,203,912,286,626,2097
17-Apr-20,400,493,96,210,941,301,640,2140
24-Apr-20,405,506,103,218,979,314,664,2210
01-May-20,424,530,111,228,1027,331,695,2319
08-May-20,452,554,117,240,1059,340,719,2422
15-May-20,469,576,124,253,1081,345,737,2503
22-May-20,504,606,132,264,1105,348,757,2612
29-May-20,536,634,140,273,1131,353,778,2714
05-Jun-20,563,662,148,281,1153,357,797,2807
12-Jun-20,586,688,156,290,1173,358,815,2892
19-Jun-20,619,716,165,299,1212,372,840,3012
26-Jun-20,639,740,173,304,1222,368,854,3077
03-Jul-20,657,761,180,310,1226,364,862,3133
10-Jul-20,672,780,186,312,1228,359,869,3178
17-Jul-20,693,799,190,311,1221,349,872,3215
24-Jul-20,706,815,196,313,1211,339,872,3241
31-Jul-20,718,830,202,311,1214,336,878,3274
07-Aug-20,738,856,206,314,1219,337,883,3332
14-Aug-20,750,880,209,313,1223,335,888,3375
21-Aug-20,775,904,212,306,1223,334,889,3420
28-Aug-20,789,924,212,304,1225,331,895,3455
04-Sep-20,805,953,216,308,1243,335,908,3525
11-Sep-20,825,983,221,310,1276,349,927,3614
18-Sep-20,851,1009,225,312,1283,349,934,3680
25-Sep-20,872,1033,231,316,1304,358,945,3756
02-Oct-20,893,1062,236,318,1322,366,955,3831
09-Oct-20,908,1081,241,320,1326,366,960,3877
16-Oct-20,923,1105,245,323,1329,360,969,3926
23-Oct-20,941,1118,245,323,1329,360,968,3955
30-Oct-20,947,1119,240,320,1293,348,945,3919
06-Nov-20,942,1127,243,322,1293,345,948,3927
13-Nov-20,953,1139,241,319,1306,350,956,3958
20-Nov-20,934,1133,242,320,1312,356,956,3940
27-Nov-20,934,1122,240,318,1326,368,958,3939
04-Dec-20,915,1095,232,312,1294,361,933,3848
11-Dec-20,881,1059,223,306,1256,348,908,3726
18-Dec-20,844,1015,212,296,1207,337,870,3574
25-Dec-20,810,973,204,289,1183,334,849,3460
01-Jan-21,765,923,196,282,1163,333,830,3330
08-Jan-21,726,879,188,278,1126,327,799,3196
15-Jan-21,679,828,176,275,1051,296,755,3009
22-Jan-21,641,780,170,275,1014,288,726,2881
29-Jan-21,582,719,158,261,970,281,689,2689
05-Feb-21,529,666,150,257,915,261,654,2518
