,Harbor,Date,isKorean,Full_10,Empty_10,Full_20,Empty_20,Full_40,Empty_40,Full_other,Empty_other,R/T
0,Busan,2018-01-01,TRUE,165,273,61282,15753,59612,13995,147,67,3862353
1,Busan,2018-01-01,FALSE,161,133,338680,74981,441504,83605,2879,705,26086071
2,Busan,2018-02-01,TRUE,131,180,58404,14942,55317,12530,89,18,3507757
3,Busan,2018-02-01,FALSE,197,130,329184,71048,440318,84009,3022,913,26385908
4,Busan,2018-03-01,TRUE,90,176,62388,14732,59900,13404,94,116,3782328
5,Busan,2018-03-01,FALSE,204,134,355450,80106,450244,93773,2532,1354,26572388
6,Busan,2018-04-01,TRUE,131,204,66243,14437,61622,11674,125,10,4109306
7,Busan,2018-04-01,FALSE,141,147,361540,77301,469015,89080,2948,1345,31151393
8,Busan,2018-05-01,TRUE,125,182,66458,15140,58188,12612,115,54,5128855
9,Busan,2018-05-01,FALSE,151,140,389741,86389,500755,91605,3155,1404,37559167
10,Busan,2018-06-01,TRUE,148,157,58856,13713,53416,10361,90,14,3957189
11,Busan,2018-06-01,FALSE,153,121,378249,83184,490795,86979,3275,1378,34346356
12,Busan,2018-07-01,TRUE,176,147,60239,13940,54485,10882,71,27,5735576
13,Busan,2018-07-01,FALSE,128,104,381354,76074,502827,84521,3564,1555,36387222
14,Busan,2018-08-01,TRUE,138,170,53772,13816,50348,10167,74,56,3786443
15,Busan,2018-08-01,FALSE,150,117,360503,77696,484544,79751,3569,1399,33768386
16,Busan,2018-09-01,TRUE,142,165,59576,13931,53484,11175,69,20,3728661
17,Busan,2018-09-01,FALSE,172,100,372905,75334,508958,83273,3788,1561,34893782
18,Busan,2018-10-01,TRUE,145,215,65158,13986,59537,12139,96,33,5272235
19,Busan,2018-10-01,FALSE,167,123,358153,74957,491942,80235,3397,1268,32659150
20,Busan,2018-11-01,TRUE,151,217,63127,16229,60556,11980,77,45,4839617
21,Busan,2018-11-01,FALSE,204,156,378908,80222,518509,98382,3830,1758,33675765
22,Busan,2018-12-01,TRUE,155,215,61488,15494,59325,12821,61,74,4054917
23,Busan,2018-12-01,FALSE,186,145,363717,70627,486339,90499,3551,832,34380616
24,Busan,2019-01-01,TRUE,142,192,58094,12170,54385,12004,36,43,3511809
25,Busan,2019-01-01,FALSE,173,166,352269,75112,484691,100691,3459,790,31050368
26,Busan,2019-02-01,TRUE,86,89,50475,13177,50629,11277,64,23,3496708
27,Busan,2019-02-01,FALSE,209,124,315991,66218,445082,95434,3092,1518,29803840
28,Busan,2019-03-01,TRUE,79,21,62966,14419,60030,11594,78,32,4179755
29,Busan,2019-03-01,FALSE,233,316,373490,79049,499643,102499,2882,1035,32741464
30,Busan,2019-04-01,TRUE,138,198,56623,14126,55334,11548,52,62,3950013
31,Busan,2019-04-01,FALSE,182,251,357968,79031,499749,106031,2988,827,31290380
32,Busan,2019-05-01,TRUE,124,193,56194,13770,53858,11832,26,42,3812975
33,Busan,2019-05-01,FALSE,150,148,373232,84559,521736,102278,3667,692,33621098
34,Busan,2019-06-01,TRUE,149,156,56387,13616,54149,11616,22,35,3909681
35,Busan,2019-06-01,FALSE,136,121,370178,75989,507570,87713,3541,628,36422385
36,Busan,2019-07-01,TRUE,166,191,59637,14931,61155,11954,188,87,4329648
37,Busan,2019-07-01,FALSE,152,126,360793,81258,508953,101314,3346,1175,35916315
38,Busan,2019-08-01,TRUE,122,141,56746,13811,54968,12634,107,129,4626833
39,Busan,2019-08-01,FALSE,148,184,352695,81783,496015,93682,3403,1418,37047736
40,Busan,2019-09-01,TRUE,103,129,56114,14313,54180,11148,118,36,3753716
41,Busan,2019-09-01,FALSE,144,132,323577,66538,458051,92822,2978,1885,32331723
42,Busan,2019-10-01,TRUE,126,209,59355,14882,59149,10923,89,74,3925239
43,Busan,2019-10-01,FALSE,189,204,349124,75302,514641,100819,3333,2144,33667069
44,Busan,2019-11-01,TRUE,123,208,63423,15681,63578,12762,143,86,4308047
45,Busan,2019-11-01,FALSE,162,193,337895,75629,483450,100879,2972,1350,31097812
46,Busan,2019-12-01,TRUE,145,220,61909,15782,63221,13515,108,61,4813734
47,Busan,2019-12-01,FALSE,184,191,349948,70099,500576,101937,3150,1293,33732755
48,Busan,2020-01-01,TRUE,153,198,51971,13415,52448,12083,111,27,3410524
49,Busan,2020-01-01,FALSE,147,132,326809,66420,488331,106915,3878,1564,30829337
50,Busan,2020-02-01,TRUE,135,191,48324,13865,45734,9984,68,50,3030669
51,Busan,2020-02-01,FALSE,173,173,314693,78082,458696,115885,3002,1693,29267956
52,Busan,2020-03-01,TRUE,105,55,58504,12140,56534,11337,34,21,3557594
53,Busan,2020-03-01,FALSE,214,77,390001,87197,522702,113577,3118,1415,30563471
54,Busan,2020-04-01,TRUE,109,21,51513,12854,51098,11663,73,39,3172526
55,Busan,2020-04-01,FALSE,148,56,352282,77331,476778,117473,2535,1642,27450517
56,Busan,2020-05-01,TRUE,121,21,50196,13203,51433,11652,84,65,3138288
57,Busan,2020-05-01,FALSE,122,20,322935,71637,450536,101938,2474,944,25868528
58,Incheon,2018-01-01,TRUE,1153,0,9567,1881,9797,3934,105,83,628256
59,Incheon,2018-01-01,FALSE,3,8,45068,17358,52387,20161,106,52,3192575
60,Incheon,2018-02-01,TRUE,905,0,6394,1607,6935,3090,7,0,420764
61,Incheon,2018-02-01,FALSE,0,0,39762,13362,47616,19198,152,162,2832645
62,Incheon,2018-03-01,TRUE,1071,0,7724,1520,8658,2800,0,7,522371
63,Incheon,2018-03-01,FALSE,0,0,46586,16733,51489,23120,259,212,3133988
64,Incheon,2018-04-01,TRUE,1177,0,7330,1633,8821,2983,1,13,534486
65,Incheon,2018-04-01,FALSE,12,10,51255,18920,58712,22677,334,274,4137778
66,Incheon,2018-05-01,TRUE,1203,32,8466,1167,9690,3096,1,8,710598
67,Incheon,2018-05-01,FALSE,3,4,52582,18387,59522,23676,299,317,4066706
68,Incheon,2018-06-01,TRUE,1546,0,9188,1549,9819,2642,0,0,659077
69,Incheon,2018-06-01,FALSE,7,6,49828,18518,60946,23471,256,242,3967312
70,Incheon,2018-07-01,TRUE,1781,0,8917,1449,9396,3163,0,0,586389
71,Incheon,2018-07-01,FALSE,14,10,49915,17590,57356,22189,300,251,3676194
72,Incheon,2018-08-01,TRUE,1656,0,6970,1200,8008,2109,4,0,507404
73,Incheon,2018-08-01,FALSE,8,10,47693,16761,55614,19751,224,217,3559641
74,Incheon,2018-09-01,TRUE,1425,0,8039,1733,9037,3083,2,0,777886
75,Incheon,2018-09-01,FALSE,5,8,46948,17471,57983,21031,293,255,3850423
76,Incheon,2018-10-01,TRUE,1266,69,8559,1525,9897,3076,2,6,598711
77,Incheon,2018-10-01,FALSE,6,4,51175,18285,61318,22254,400,325,3845986
78,Incheon,2018-11-01,TRUE,851,357,7303,1766,9166,2632,2,1,573080
79,Incheon,2018-11-01,FALSE,5,4,52734,20249,61438,23414,356,385,4304220
80,Incheon,2018-12-01,TRUE,1242,44,8457,1527,9655,3167,1,0,625652
81,Incheon,2018-12-01,FALSE,0,2,50163,17802,61237,22697,394,348,4017115
82,Incheon,2019-01-01,TRUE,1274,0,7355,2147,8078,3795,0,2,502498
83,Incheon,2019-01-01,FALSE,8,4,48631,18045,59640,22557,377,291,3764673
84,Incheon,2019-02-01,TRUE,1000,0,5907,1871,6982,2810,2,0,401173
85,Incheon,2019-02-01,FALSE,0,4,33232,13068,41759,15923,109,114,2518788
86,Incheon,2019-03-01,TRUE,996,0,8768,1413,9485,3503,2,0,764135
87,Incheon,2019-03-01,FALSE,1,2,48039,15141,57000,19403,354,330,3867267
88,Incheon,2019-04-01,TRUE,1022,0,9260,1839,10433,4130,1,19,799246
89,Incheon,2019-04-01,FALSE,8,2,49882,18364,59628,22081,432,388,4548288
90,Incheon,2019-05-01,TRUE,1181,0,8143,1799,9211,4773,6,6,572810
91,Incheon,2019-05-01,FALSE,7,13,49520,17192,58654,22718,379,403,3964443
92,Incheon,2019-06-01,TRUE,1081,0,7309,1192,8972,3192,0,1,573695
93,Incheon,2019-06-01,FALSE,0,0,48681,18289,58071,23680,320,335,3685069
94,Incheon,2019-07-01,TRUE,1068,161,7510,1401,8064,3649,6,10,582246
95,Incheon,2019-07-01,FALSE,2,2,49589,19710,55306,25175,385,320,3871393
96,Incheon,2019-08-01,TRUE,1119,79,6047,1533,8009,3331,3,0,478524
97,Incheon,2019-08-01,FALSE,2,0,49285,16687,54316,21053,262,314,3951817
98,Incheon,2019-09-01,TRUE,961,13,5437,1901,6874,2689,6,0,444313
99,Incheon,2019-09-01,FALSE,2,2,48728,17998,57108,22541,403,299,4018688
100,Incheon,2019-10-01,TRUE,1034,0,5260,1302,7295,2481,2,0,492486
101,Incheon,2019-10-01,FALSE,7,6,51252,16246,61844,21652,408,391,4404087
102,Incheon,2019-11-01,TRUE,999,0,6169,2017,7975,2848,2,0,696001
103,Incheon,2019-11-01,FALSE,3,4,51165,17665,62525,21734,412,469,4238759
104,Incheon,2019-12-01,TRUE,877,227,7328,2385,9676,3069,3,20,603887
105,Incheon,2019-12-01,FALSE,5,6,50701,16018,60348,23013,422,364,4663713
106,Incheon,2020-01-01,TRUE,1120,303,5457,1750,8351,3751,12,0,465802
107,Incheon,2020-01-01,FALSE,2,2,48032,18751,58019,23973,282,284,4248703
108,Incheon,2020-02-01,TRUE,1396,0,4371,1972,5253,2226,3,0,403856
109,Incheon,2020-02-01,FALSE,1,0,34122,12463,37660,17845,55,94,2307640
110,Incheon,2020-03-01,TRUE,1320,0,5750,1729,7267,2228,2,25,586522
111,Incheon,2020-03-01,FALSE,1,2,52646,15720,59631,17643,363,278,3622200
112,Incheon,2020-04-01,TRUE,1522,0,5156,1634,6724,2896,5,0,415190
113,Incheon,2020-04-01,FALSE,2,0,52134,20648,62828,24808,403,382,3863231
114,Incheon,2020-05-01,TRUE,1511,79,5790,2366,8108,5783,3,0,483346
115,Incheon,2020-05-01,FALSE,3,4,49173,19006,61307,25686,440,559,3741383
116,"Pyeongtaek, Dangjin",2018-01-01,TRUE,0,0,2423,511,1910,172,0,0,133354
117,"Pyeongtaek, Dangjin",2018-01-01,FALSE,0,0,11544,8862,8851,3464,0,3,640784
118,"Pyeongtaek, Dangjin",2018-02-01,TRUE,0,0,1736,644,1717,264,0,0,106690
119,"Pyeongtaek, Dangjin",2018-02-01,FALSE,0,0,6898,5683,6952,2557,0,20,448356
120,"Pyeongtaek, Dangjin",2018-03-01,TRUE,0,0,1898,517,1812,298,0,0,116134
121,"Pyeongtaek, Dangjin",2018-03-01,FALSE,0,0,11108,6693,9110,4149,0,0,647259
122,"Pyeongtaek, Dangjin",2018-04-01,TRUE,0,0,2274,915,2108,149,0,0,147436
123,"Pyeongtaek, Dangjin",2018-04-01,FALSE,0,0,13443,9895,9725,4724,0,4,753974
124,"Pyeongtaek, Dangjin",2018-05-01,TRUE,0,0,2546,946,2609,214,0,0,162996
125,"Pyeongtaek, Dangjin",2018-05-01,FALSE,0,0,13606,9795,9953,4416,0,0,1096487
126,"Pyeongtaek, Dangjin",2018-06-01,TRUE,0,0,3168,1394,2349,163,0,0,170927
127,"Pyeongtaek, Dangjin",2018-06-01,FALSE,0,0,12001,8842,9002,3697,0,0,766729
128,"Pyeongtaek, Dangjin",2018-07-01,TRUE,0,0,3291,1645,2991,442,0,0,198046
129,"Pyeongtaek, Dangjin",2018-07-01,FALSE,0,0,12861,9420,10143,4149,0,0,727282
130,"Pyeongtaek, Dangjin",2018-08-01,TRUE,0,0,3020,1547,2449,459,0,0,170793
131,"Pyeongtaek, Dangjin",2018-08-01,FALSE,0,0,10720,7818,8771,3094,0,0,653476
132,"Pyeongtaek, Dangjin",2018-09-01,TRUE,0,0,3977,2956,3655,533,0,0,246721
133,"Pyeongtaek, Dangjin",2018-09-01,FALSE,0,0,11136,7952,10033,5003,0,0,673981
134,"Pyeongtaek, Dangjin",2018-10-01,TRUE,0,0,3393,2591,2907,414,0,0,211049
135,"Pyeongtaek, Dangjin",2018-10-01,FALSE,0,0,11856,8425,10611,4080,0,0,715373
136,"Pyeongtaek, Dangjin",2018-11-01,TRUE,0,0,3763,2842,2949,739,0,0,215474
137,"Pyeongtaek, Dangjin",2018-11-01,FALSE,0,0,13047,9525,10935,4532,0,0,753812
138,"Pyeongtaek, Dangjin",2018-12-01,TRUE,0,0,3933,2168,3113,778,0,0,218349
139,"Pyeongtaek, Dangjin",2018-12-01,FALSE,0,0,11353,7981,10064,4406,0,0,712141
140,"Pyeongtaek, Dangjin",2019-01-01,TRUE,0,0,3453,1782,3325,612,0,0,218876
141,"Pyeongtaek, Dangjin",2019-01-01,FALSE,0,0,11119,8046,9764,4561,0,0,659416
142,"Pyeongtaek, Dangjin",2019-02-01,TRUE,0,0,2442,1245,2229,212,0,0,146163
143,"Pyeongtaek, Dangjin",2019-02-01,FALSE,0,0,4831,3497,6012,3397,0,5,350976
144,"Pyeongtaek, Dangjin",2019-03-01,TRUE,0,0,4040,1919,3779,626,0,0,476834
145,"Pyeongtaek, Dangjin",2019-03-01,FALSE,0,0,12282,7401,9588,4414,0,0,676357
146,"Pyeongtaek, Dangjin",2019-04-01,TRUE,0,0,4318,1677,3529,307,0,0,269726
147,"Pyeongtaek, Dangjin",2019-04-01,FALSE,0,0,12580,9287,10251,4421,0,1,871616
148,"Pyeongtaek, Dangjin",2019-05-01,TRUE,0,0,4371,2945,3790,488,0,0,263838
149,"Pyeongtaek, Dangjin",2019-05-01,FALSE,0,0,10425,7966,9462,4797,0,0,731051
150,"Pyeongtaek, Dangjin",2019-06-01,TRUE,0,0,3858,1942,3382,629,0,0,231522
151,"Pyeongtaek, Dangjin",2019-06-01,FALSE,0,0,11126,8963,8872,4973,0,0,663766
152,"Pyeongtaek, Dangjin",2019-07-01,TRUE,0,0,3482,1702,3800,960,0,0,249639
153,"Pyeongtaek, Dangjin",2019-07-01,FALSE,0,0,12169,9499,9720,5147,0,0,689607
154,"Pyeongtaek, Dangjin",2019-08-01,TRUE,0,0,3193,1767,3167,820,0,0,205544
155,"Pyeongtaek, Dangjin",2019-08-01,FALSE,0,0,10537,7621,8743,4564,0,0,608167
156,"Pyeongtaek, Dangjin",2019-09-01,TRUE,0,0,3070,1333,3025,805,0,0,200573
157,"Pyeongtaek, Dangjin",2019-09-01,FALSE,0,0,10540,6610,9461,3956,0,8,638352
158,"Pyeongtaek, Dangjin",2019-10-01,TRUE,0,0,2450,1934,2599,683,0,0,165351
159,"Pyeongtaek, Dangjin",2019-10-01,FALSE,0,0,12548,8154,12214,5209,0,5,811155
160,"Pyeongtaek, Dangjin",2019-11-01,TRUE,0,0,2609,1564,2197,1322,0,0,156264
161,"Pyeongtaek, Dangjin",2019-11-01,FALSE,0,0,12499,8953,11690,4096,0,0,780793
162,"Pyeongtaek, Dangjin",2019-12-01,TRUE,0,0,2915,1780,2789,573,0,0,191911
163,"Pyeongtaek, Dangjin",2019-12-01,FALSE,0,0,13021,8901,11614,4745,0,0,795473
164,"Pyeongtaek, Dangjin",2020-01-01,TRUE,0,0,2442,1019,2608,1223,0,0,169773
165,"Pyeongtaek, Dangjin",2020-01-01,FALSE,0,0,10283,7437,10624,3915,0,0,687213
166,"Pyeongtaek, Dangjin",2020-02-01,TRUE,0,0,1360,1244,1012,552,0,0,69536
167,"Pyeongtaek, Dangjin",2020-02-01,FALSE,0,0,5528,4363,6930,3052,0,0,401021
168,"Pyeongtaek, Dangjin",2020-03-01,TRUE,0,0,3229,1626,2485,1543,0,0,179628
169,"Pyeongtaek, Dangjin",2020-03-01,FALSE,0,0,12296,7860,11401,4379,0,0,766226
170,"Pyeongtaek, Dangjin",2020-04-01,TRUE,0,0,3800,2235,3082,1598,0,0,222773
171,"Pyeongtaek, Dangjin",2020-04-01,FALSE,0,0,13950,8895,11712,4025,0,0,831922
172,"Pyeongtaek, Dangjin",2020-05-01,TRUE,0,0,3005,1784,2500,905,0,0,177240
173,"Pyeongtaek, Dangjin",2020-05-01,FALSE,0,0,12676,7617,13282,3971,0,0,883092
174,Gyeongin Port,2018-01-01,TRUE,0,0,0,0,0,0,0,0,0
175,Gyeongin Port,2018-01-01,FALSE,0,0,687,403,361,58,0,0,30646
176,Gyeongin Port,2018-02-01,TRUE,0,0,0,0,0,0,0,0,0
177,Gyeongin Port,2018-02-01,FALSE,0,0,359,534,203,31,0,0,15826
178,Gyeongin Port,2018-03-01,TRUE,0,0,0,0,0,0,0,0,0
179,Gyeongin Port,2018-03-01,FALSE,0,0,537,328,190,9,0,0,18904
180,Gyeongin Port,2018-04-01,TRUE,0,0,0,0,0,0,0,0,0
181,Gyeongin Port,2018-04-01,FALSE,0,0,613,473,238,54,0,0,23443
182,Gyeongin Port,2018-05-01,TRUE,0,0,0,0,0,0,0,0,0
183,Gyeongin Port,2018-05-01,FALSE,0,0,786,564,352,110,0,0,31662
184,Gyeongin Port,2018-06-01,TRUE,0,0,0,0,0,0,0,0,0
185,Gyeongin Port,2018-06-01,FALSE,0,0,643,497,283,85,0,0,25726
186,Gyeongin Port,2018-07-01,TRUE,0,0,0,0,0,0,0,0,0
187,Gyeongin Port,2018-07-01,FALSE,0,0,608,527,401,87,0,0,30229
188,Gyeongin Port,2018-08-01,TRUE,0,0,0,0,0,0,0,0,0
189,Gyeongin Port,2018-08-01,FALSE,0,0,522,534,335,54,0,0,24868
190,Gyeongin Port,2018-09-01,TRUE,0,0,0,0,0,0,0,0,0
191,Gyeongin Port,2018-09-01,FALSE,0,0,504,500,364,32,0,0,25224
192,Gyeongin Port,2018-10-01,TRUE,0,0,0,0,0,0,0,0,0
193,Gyeongin Port,2018-10-01,FALSE,0,0,497,517,341,8,0,0,24463
194,Gyeongin Port,2018-11-01,TRUE,0,0,0,0,0,0,0,0,0
195,Gyeongin Port,2018-11-01,FALSE,0,0,571,462,283,6,0,0,23126
196,Gyeongin Port,2018-12-01,TRUE,0,0,0,0,0,0,0,0,0
197,Gyeongin Port,2018-12-01,FALSE,0,0,650,496,333,40,0,0,27833
198,Gyeongin Port,2019-01-01,TRUE,0,0,0,0,0,0,0,0,0
199,Gyeongin Port,2019-01-01,FALSE,0,0,517,519,624,219,0,0,39251
